species,PubChem
Clostridioides difficile,6675
Clostridioides difficile,160419
Slackia equolifaciens,185914
Slackia equolifaciens,181511
Slackia equolifaciens,10176710
Adlercreutzia equolifaciens,185914
Adlercreutzia equolifaciens,181511
Adlercreutzia equolifaciens,10176710
Dictyostelium discoideum,3081033
Salmonella enterica,264
Bifidobacterium longum,175
Escherichia coli,138805674
Slackia equolifaciens,91469
Cronobacter sakazakii,439709
Marvinbryantia formatexigens,439709
Ruminococcus gnavus,439709
Weissella paramesenteroides,439709
Escherichia coli,176907
Escherichia coli,9838356
Alistipes indistinctus,160419
Alistipes indistinctus,613145
Alistipes indistinctus,10430
Odoribacter laneus,160419
Odoribacter laneus,613145
Odoribacter laneus,10430
Paraprevotella clara,160419
Paraprevotella clara,613145
Paraprevotella xylaniphila,160419
Paraprevotella xylaniphila,613145
Faecalibacterium prausnitzii,985
Faecalibacterium prausnitzii,348154
Faecalibacterium prausnitzii,94715
Lactobacillus paracasei,24970825
Bacteroides sp.,129887767
Bacteroides sp.,5280343
Bacteroides sp.,72
Acidipropionibacterium acidipropionici,1032
Acidipropionibacterium acidipropionici,160419
human intestinal bacterium SNU-Julong732,91469
Eubacterium limosum,5280961
Eubacterium limosum,5281708
Eubacterium limosum,5284649
Lactobacillus plantarum,45093073
Lactobacillus plantarum,52920332
Eubacterium limosum,101101166
Escherichia coli,689043
Escherichia coli,6508
Bifidobacterium animalis,689043
Bifidobacterium animalis,6508
Lactobacillus gasseri,689043
Lactobacillus gasseri,6508
Lactobacillus fermentum,702
Weissella confusa,702
Saccharomyces cerevisiae,702
Eubacterium rectale,264
Clostridium pasteurianum,175
Clostridium pasteurianum,264
Lactococcus sp.,91469
Lactococcus sp.,176907
Bacteroides sp.,5281656
Eubacterium limosum,175
Eubacterium limosum,1032
Bacillus sp.,5280804
Bacillus sp.,71629
Bacteroides sp.,5280804
Bacteroides sp.,71629
Veillonella sp.,71629
Ruminococcus bromii,1032
Ruminococcus bromii,753
Bifidobacterium longum,442424
Bacteroides fragilis,442424
Lactobacillus plantarum,10308378
Bifidobacterium dentium,5280343
Bifidobacterium dentium,25201019
Lactobacillus paracasei,91469
Bifidobacterium catenulatum,440993
Bifidobacterium catenulatum,9831622
Atopobium parvulum,264
Prevotella copri,264
Clostridium sp.,444873
Clostridium sp.,20601635
Catenibacillus scindens,5281708
Catenibacillus scindens,10394
Catenibacillus scindens,96384
Eggerthella sp.,138478
Faecalibacterium prausnitzii,1530
Flavonifractor plautii,129849310
Blautia obeum,129849310
Anaerobutyricum hallii,129849310
Lactobacillus reuteri,129849310
Enterococcus avium,5280459
Enterococcus durans,264
Lacticaseibacillus casei,849
Bifidobacterium bifidum,91469
Bifidobacterium longum,24721561
Bifidobacterium longum,10466307
Bifidobacterium longum,64981
Bifidobacterium longum,785
Clostridium butyricum,264
Escherichia coli,798
Bifidobacterium  pseudocatenulatum,5281708
Bifidobacterium  catenulatum,5281708
Bifidobacterium  pseudocatenulatum,5280961
Bifidobacterium longum,5280961
Bifidobacterium  adolescentis,5280961
Bifidobacterium  catenulatum,5280961
Bifidobacterium breve,5280961
Bifidobacterium  pseudocatenulatum,5317750
Bifidobacterium longum,5317750
Bifidobacterium  adolescentis,5317750
Bifidobacterium  catenulatum,5317750
Bifidobacterium breve,5317750
Bifidobacterium  pseudocatenulatum,5280863
Bifidobacterium longum,5280863
Bifidobacterium  adolescentis,5280863
Bifidobacterium  catenulatum,5280863
Bifidobacterium breve,5280863
Emergencia timonensis,1146
Clostridium sporogenes,107
Clostridium sporogenes,10394
Clostridium sporogenes,3744
Peptostreptococcus anaerobius,3744
Clostridium cadaveris,3744
Streptococcus mutans,124343
Eggerthella lenta,124343
Bacteroides stercoris,119307
Eubacterium sp.,11213350
Fusobacterium sp.,11213350
Fusobacterium sp.,54580480
Bacteroides stercoris,9920281
Roseburia inulinivorans,1032
Roseburia inulinivorans,1031
Roseburia inulinivorans,264
Bacteroides caccae,9877619
Clostridium sp.,9877619
Escherichia coli,9877619
Firmicutes bacterium,9877619
Subdoligranulum sp.,9877619
Bacteroides caccae,9548632
Clostridium sp.,9548632
Escherichia coli,9548632
Firmicutes bacterium,9548632
Subdoligranulum sp.,9548632
Collinsella tanakaei,91435
Collinsella tanakaei,175
Collinsella tanakaei,284
Succinatimonas hippei,160419
Succinatimonas hippei,175
Bacillus sp.,5280459
Bacillus sp.,5282160
Bacillus sp.,10381440
Clostridium scindens,702
Clostridium scindens,175
Clostridium scindens,284
Clostridium scindens,783
Parasutterella excrementihominis,1032
Butyricimonas virosa,6590
Butyricimonas virosa,264
Butyricimonas synergistica,6590
Butyricimonas synergistica,264
Clostridium sp.,89472
Clostridium asparagiforme,175
Clostridium asparagiforme,91435
Clostridium asparagiforme,702
Escherichia sp.,5280459
Escherichia sp.,5281672
Enterococcus sp.,5281672
Enterococcus sp.,5280343
Escherichia sp.,5280343
Blautia faecis,175
Blautia faecis,91435
Dialister succinatiphilus,1032
Barnesiella intestinihominis,175
Barnesiella intestinihominis,160419
Ruminococcus champanellensis,175
Ruminococcus champanellensis,160419
Lawsonibacter asaccharolyticus,175
Lawsonibacter asaccharolyticus,264
Enterococcus casseliflavus,5280343
Bacteroides fragilis,91469
Bacteroides ovatus,91469
Bacteroides stercoris,91469
Bacteroides thetaiotaomicron,91469
Bacteroides uniformis,91469
Phocaeicola vulgatus,91469
Clostridium sp.,65373
Bacteroides fragilis,65373
Parabacteroides distasonis,65373
Bacteroides ovatus,65373
Blautia producta,500189
Blautia producta,115089
Eubacterium sp.,115089
Clostridium scindens,115089
Eggerthella lenta,115089
Enterococcus faecalis,332427
Parabacteroides distasonis,5280863
Bacteroides uniformis,5280343
Bacteroides ovatus,5280343
Streptococcus intermedius,91469
Blautia producta,91469
Enterococcus faecium,91469
Limosilactobacillus mucosae,91469
Finegoldia magna,91469
Veillonella sp.,91469
Absiella dolichum,175
Absiella dolichum,264
Absiella dolichum,439178
Absiella dolichum,439163
Absiella dolichum,6036
Absiella dolichum,10690
Absiella dolichum,5793
Absiella dolichum,18950
Absiella dolichum,5779
Absiella dolichum,222285
Absiella dolichum,439552
Absiella dolichum,440946
Absiella dolichum,753
Absiella dolichum,402
Absiella dolichum,464
Absiella dolichum,107689
Absiella dolichum,61503
Absiella dolichum,439192
Absiella dolichum,439186
Absiella dolichum,222
Absiella dolichum,944
Absiella dolichum,1060
Absiella dolichum,439207
Absiella dolichum,1110
Absiella dolichum,5988
Acetoanaerobium sticklandii,439691
Acetoanaerobium sticklandii,80283
Acetoanaerobium sticklandii,138
Acetoanaerobium sticklandii,175
Acetoanaerobium sticklandii,264
Acetoanaerobium sticklandii,802
Acetoanaerobium sticklandii,6590
Acetoanaerobium sticklandii,10430
Acetoanaerobium sticklandii,6140
Acetoanaerobium sticklandii,71567
Acetoanaerobium sticklandii,145742
Acetoanaerobium sticklandii,8988
Acetoanaerobium sticklandii,6305
Acetoanaerobium sticklandii,6057
Acetoanaerobium sticklandii,222
Acetoanaerobium sticklandii,999
Acetoanaerobium sticklandii,1032
Acetobacter pasteurianus,175
Acetobacter pasteurianus,702
Acetobacter pasteurianus,107689
Acetobacter pasteurianus,61503
Acetobacterium woodii,978
Acetobacterium woodii,175
Acetobacterium woodii,24892716
Acetobacterium woodii,171548
Acetobacterium woodii,263
Acetobacterium woodii,280
Acetobacterium woodii,439163
Acetobacterium woodii,5793
Acetobacterium woodii,439194
Acetobacterium woodii,702
Acetobacterium woodii,6037
Acetobacterium woodii,712
Acetobacterium woodii,283
Acetobacterium woodii,783
Acetobacterium woodii,5950
Acetobacterium woodii,71080
Acetobacterium woodii,107689
Acetobacterium woodii,61503
Acetobacterium woodii,297
Acetobacterium woodii,887
Acetobacterium woodii,936
Acetobacterium woodii,938
Acetobacterium woodii,6613
Acetobacterium woodii,1031
Acetobacterium woodii,1050
Acetobacterium woodii,1054
Acetobacterium woodii,1052
Acetobacterium woodii,493570
Acetobacterium woodii,1110
Acetobacterium woodii,1130
Acetohalobium arabaticum,175
Acetohalobium arabaticum,247
Acetohalobium arabaticum,280
Acetohalobium arabaticum,281
Acetohalobium arabaticum,283
Acetohalobium arabaticum,783
Acetohalobium arabaticum,6267
Acetohalobium arabaticum,5960
Acetohalobium arabaticum,83887
Acetohalobium arabaticum,33032
Acetohalobium arabaticum,23327
Acetohalobium arabaticum,6274
Acetohalobium arabaticum,107689
Acetohalobium arabaticum,61503
Acetohalobium arabaticum,1060
Acetohalobium arabaticum,1146
Acholeplasma laidlawii,175
Acholeplasma laidlawii,439163
Acholeplasma laidlawii,6036
Acholeplasma laidlawii,5793
Acholeplasma laidlawii,6137
Acholeplasma laidlawii,84815
Achromobacter piechaudii,311
Achromobacter piechaudii,10690
Achromobacter piechaudii,402
Achromobacter piechaudii,10430
Achromobacter piechaudii,811
Achromobacter piechaudii,6057
Achromobacter piechaudii,867
Achromobacter piechaudii,944
Achromobacter piechaudii,7991
Achromobacter xylosoxidans,6036
Achromobacter xylosoxidans,5793
Achromobacter xylosoxidans,18950
Achromobacter xylosoxidans,135191
Acidaminococcus fermentans,978
Acidaminococcus fermentans,175
Acidaminococcus fermentans,24892716
Acidaminococcus fermentans,171548
Acidaminococcus fermentans,264
Acidaminococcus fermentans,280
Acidaminococcus fermentans,311
Acidaminococcus fermentans,783
Acidaminococcus fermentans,402
Acidaminococcus fermentans,6322
Acidaminococcus fermentans,33032
Acidaminococcus fermentans,23327
Acidaminococcus fermentans,6305
Acidaminococcus fermentans,6287
Acidaminococcus fermentans,71563
Acidaminococcus fermentans,222
Acidaminococcus fermentans,6613
Acidaminococcus fermentans,1050
Acidaminococcus fermentans,1054
Acidaminococcus fermentans,1052
Acidaminococcus fermentans,643757
Acidaminococcus fermentans,444212
Acidimicrobium ferrooxidans,280
Acidiphilium cryptum,5793
Acidithiobacillus caldus,1118
Acidithiobacillus caldus,402
Acidithiobacillus caldus,439208
Acidithiobacillus ferrooxidans,280
Acidovorax avenae,196
Acidovorax avenae,8892
Acidovorax avenae,311
Acidovorax avenae,6902
Acidovorax avenae,439195
Acidovorax avenae,6036
Acidovorax avenae,5793
Acidovorax avenae,6251
Acidovorax avenae,5779
Acidovorax avenae,5780
Acidovorax avenae,82170
Acidovorax avenae,700
Acidovorax avenae,6590
Acidovorax avenae,10430
Acidovorax avenae,439255
Acidovorax avenae,94154
Acidovorax avenae,17106
Acidovorax avenae,6274
Acidovorax avenae,6288
Acidovorax avenae,6305
Acidovorax avenae,944
Acidovorax avenae,385
Acidovorax avenae,643757
Acidovorax avenae,444212
Acidovorax avenae,447315
Acidovorax avenae,444305
Acidovorax delafieldii,196
Acidovorax delafieldii,8892
Acidovorax delafieldii,311
Acidovorax delafieldii,6902
Acidovorax delafieldii,439195
Acidovorax delafieldii,6036
Acidovorax delafieldii,5793
Acidovorax delafieldii,6251
Acidovorax delafieldii,18950
Acidovorax delafieldii,5779
Acidovorax delafieldii,5780
Acidovorax delafieldii,82170
Acidovorax delafieldii,6590
Acidovorax delafieldii,10430
Acidovorax delafieldii,439255
Acidovorax delafieldii,94154
Acidovorax delafieldii,17106
Acidovorax delafieldii,6274
Acidovorax delafieldii,6288
Acidovorax delafieldii,6305
Acidovorax delafieldii,944
Acidovorax delafieldii,385
Acidovorax delafieldii,643757
Acidovorax delafieldii,444212
Acidovorax delafieldii,447315
Acidovorax delafieldii,444305
Actinobacillus succinogenes,439178
Actinobacillus succinogenes,6902
Actinobacillus succinogenes,439195
Actinobacillus succinogenes,439163
Actinobacillus succinogenes,5793
Actinobacillus succinogenes,94715
Actinobacillus succinogenes,6251
Actinobacillus succinogenes,5780
Actinobacillus succinogenes,82170
Actinobacillus succinogenes,135191
Actinobacillus succinogenes,439255
Actinobacillus succinogenes,94154
Actinobacillus succinogenes,440995
Actinobacillus succinogenes,1110
Actinomyces coleocanis,175
Actinomyces coleocanis,107689
Actinomyces coleocanis,61503
Actinomyces oris,175
Actinomyces oris,107689
Actinomyces oris,61503
Actinomyces urogenitalis,175
Actinomyces urogenitalis,107689
Actinomyces urogenitalis,61503
Actinomyces viscosus,175
Actinomyces viscosus,107689
Actinomyces viscosus,61503
Actinosynnema mirum,175
Actinosynnema mirum,243
Actinosynnema mirum,439178
Actinosynnema mirum,311
Actinosynnema mirum,6902
Actinosynnema mirum,439195
Actinosynnema mirum,439163
Actinosynnema mirum,6036
Actinosynnema mirum,5793
Actinosynnema mirum,6251
Actinosynnema mirum,18950
Actinosynnema mirum,5779
Actinosynnema mirum,5780
Actinosynnema mirum,82170
Actinosynnema mirum,135191
Actinosynnema mirum,439586
Actinosynnema mirum,439606
Actinosynnema mirum,439639
Actinosynnema mirum,222285
Actinosynnema mirum,439552
Actinosynnema mirum,440946
Actinosynnema mirum,11850
Actinosynnema mirum,753
Actinosynnema mirum,892
Actinosynnema mirum,107737
Actinosynnema mirum,107689
Actinosynnema mirum,61503
Actinosynnema mirum,222656
Actinosynnema mirum,92824
Actinosynnema mirum,25310
Actinosynnema mirum,439548
Actinosynnema mirum,440995
Actinosynnema mirum,439186
Actinosynnema mirum,440658
Actinosynnema mirum,1060
Actinosynnema mirum,439242
Actinosynnema mirum,827
Actinosynnema mirum,439207
Actinosynnema mirum,1110
Actinosynnema mirum,5988
Actinosynnema mirum,7427
Actinosynnema mirum,447315
Actinosynnema mirum,444305
Aerococcus viridans,179
Aerococcus viridans,439314
Aerococcus viridans,171548
Aerococcus viridans,439178
Aerococcus viridans,6902
Aerococcus viridans,439195
Aerococcus viridans,439163
Aerococcus viridans,6036
Aerococcus viridans,5793
Aerococcus viridans,6251
Aerococcus viridans,18950
Aerococcus viridans,5779
Aerococcus viridans,5780
Aerococcus viridans,82170
Aerococcus viridans,439312
Aerococcus viridans,5460935
Aerococcus viridans,135191
Aerococcus viridans,753
Aerococcus viridans,764
Aerococcus viridans,440995
Aerococcus viridans,439186
Aerococcus viridans,439174
Aerococcus viridans,936
Aerococcus viridans,938
Aerococcus viridans,6613
Aerococcus viridans,439242
Aerococcus viridans,5988
Aerococcus viridans,7427
Aeromicrobium marinum,439178
Aeromicrobium marinum,6251
Aeromicrobium marinum,6322
Aeromicrobium marinum,33032
Aeromicrobium marinum,23327
Aeromicrobium marinum,1060
Aeromicrobium marinum,1110
Aeromicrobium marinum,7427
Aeromicrobium marinum,51
Aeromonas hydrophila,311
Aeromonas hydrophila,6902
Aeromonas hydrophila,439195
Aeromonas hydrophila,5793
Aeromonas hydrophila,107689
Aeromonas hydrophila,61503
Aeromonas hydrophila,25310
Aeromonas hydrophila,439548
Aeromonas hydrophila,440658
Aeromonas hydrophila,439242
Aeromonas salmonicida,439178
Aeromonas salmonicida,311
Aeromonas salmonicida,6902
Aeromonas salmonicida,439195
Aeromonas salmonicida,5780
Aeromonas salmonicida,82170
Aeromonas salmonicida,440995
Aeropyrum pernix,5793
Aggregatibacter actinomycetemcomitans,107689
Aggregatibacter actinomycetemcomitans,61503
Agrobacterium tumefaciens,119
Agrobacterium tumefaciens,280
Agrobacterium tumefaciens,5793
Agrobacterium tumefaciens,702
Agrobacterium tumefaciens,944
Akkermansia muciniphila,5793
Akkermansia muciniphila,702
Akkermansia muciniphila,439174
Akkermansia muciniphila,1118
Alicycliphilus denitrificans,175
Alicycliphilus denitrificans,5793
Alicycliphilus denitrificans,107689
Alicycliphilus denitrificans,61503
Alicycliphilus denitrificans,944
Alicycliphilus denitrificans,24529
Alicycliphilus denitrificans,1032
Alistipes finegoldii,175
Alistipes finegoldii,264
Alistipes finegoldii,798
Alistipes finegoldii,6590
Alistipes finegoldii,10430
Alistipes finegoldii,107689
