Gut Microbiota	DOID
Blautia obeum	Rheumatoid arthritis
Phascolarctobacterium succinatutens	Rheumatoid arthritis
Bacteroides coprophilus	Rheumatoid arthritis
Bacteroides fragilis	Rheumatoid arthritis
Prevotella stercorea	Rheumatoid arthritis
Prevotella stercorea	Diabetes mellitus type 2
Faecalibacterium prausnitzii	Diabetes mellitus type 2
Bacteroides vulgatus	Diabetes mellitus type 2
Eubacterium rectale	Diabetes mellitus type 2
Roseburia intestinalis	Diabetes mellitus type 2
Bacteroides cellulosilyticus	Diabetes mellitus type 2
Roseburia inulinivorans	Diabetes mellitus type 2
Eubacterium siraeum	Diabetes mellitus type 2
Bacteroides dorei	Diabetes mellitus type 2
Eubacterium eligens	Diabetes mellitus type 2
Haemophilus parainfluenzae	Diabetes mellitus type 2
Ruminococcus callidus	Diabetes mellitus type 2
Lachnospiraceae bacterium 5_1_63FAA	Diabetes mellitus type 2
Alistipes indistinctus	Diabetes mellitus type 2
Citrobacter freundii	Diabetes mellitus type 2
Anaerostipes hadrus	Diabetes mellitus type 2
Enterococcus avium	Diabetes mellitus type 2
Blautia producta	Diabetes mellitus type 2
Erysipelotrichaceae bacterium 6_1_45	Diabetes mellitus type 2
Erysipelotrichaceae bacterium 21_3	Diabetes mellitus type 2
Erysipelotrichaceae bacterium 2_2_44A	Diabetes mellitus type 2
Eubacterium limosum	Diabetes mellitus type 2
Lachnospiraceae bacterium 7_1_58FAA	Diabetes mellitus type 2
Prevotella bivia	Diabetes mellitus type 2
Clostridium citroniae	Diabetes mellitus type 2
Clostridiales bacterium 1_7_47FAA	Diabetes mellitus type 2
Lachnospiraceae bacterium 5_1_57FAA	Diabetes mellitus type 2
Clostridium asparagiforme	Diabetes mellitus type 2
Synergistes sp.	Diabetes mellitus type 2
Lactobacillus oris	Diabetes mellitus type 2
Anaeroglobus geminatus	Diabetes mellitus type 2
Streptococcus anginosus	Diabetes mellitus type 2
Lactobacillus delbrueckii	Diabetes mellitus type 2
Erysipelatoclostridium ramosum	Diabetes mellitus type 2
Eggerthella lenta	Diabetes mellitus type 2
Enterococcus faecalis	Diabetes mellitus type 2
Anaerotruncus colihominis	Diabetes mellitus type 2
Lactobacillus vaginalis	Diabetes mellitus type 2
Acidaminococcus fermentans	Diabetes mellitus type 2
Oscillibacter sp.	Diabetes mellitus type 2
Candidatus Alistipes marseilloanorexicus AP11	Diabetes mellitus type 2
Lachnospiraceae bacterium 3_1_57FAA_CT1	Diabetes mellitus type 2
Streptococcus mutans	Diabetes mellitus type 2
Lactobacillus johnsonii	Diabetes mellitus type 2
Coprobacillus sp.	Diabetes mellitus type 2
Lactobacillus gasseri	Diabetes mellitus type 2
Clostridium clostridioforme	Diabetes mellitus type 2
Hungatella hathewayi	Diabetes mellitus type 2
Subdoligranulum sp.	Diabetes mellitus type 2
Lactobacillus mucosae	Diabetes mellitus type 2
Lactobacillus amylovorus	Diabetes mellitus type 2
Lactobacillus reuteri	Diabetes mellitus type 2
Streptococcus vestibularis	Diabetes mellitus type 2
Clostridium bolteae	Diabetes mellitus type 2
Bifidobacterium breve	Diabetes mellitus type 2
Prevotella copri	Diabetes mellitus type 2
Butyrivibrio crossotus	Diabetes mellitus type 1
Roseburia intestinalis	Diabetes mellitus type 1
Roseburia inulinivorans	Diabetes mellitus type 1
Dorea longicatena	Diabetes mellitus type 1
Coprococcus sp.	Diabetes mellitus type 1
Burkholderiales bacterium 1_1_47	Diabetes mellitus type 1
Lactobacillus salivarius	Diabetes mellitus type 1
Paraprevotella clara	Diabetes mellitus type 1
Lachnospiraceae bacterium 7_1_58FAA	Diabetes mellitus type 1
Hungatella hathewayi	Diabetes mellitus type 1
Flavonifractor plautii	Diabetes mellitus type 1
Streptococcus australis	Diabetes mellitus type 1
Faecalitalea cylindroides	Diabetes mellitus type 1
Clostridium symbiosum	Diabetes mellitus type 1
Eggerthella sp.	Diabetes mellitus type 1
Alistipes senegalensis	Diabetes mellitus type 1
Subdoligranulum sp.	Diabetes mellitus type 1
Intestinibacter bartlettii	Diabetes mellitus type 1
Bacteroides xylanisolvens	Diabetes mellitus type 1
Parabacteroides distasonis	Diabetes mellitus type 1
Coprococcus eutactus	Diabetes mellitus type 1
Roseburia hominis	Diabetes mellitus type 1
Escherichia coli	Diabetes mellitus type 1
Odoribacter splanchnicus	Diabetes mellitus type 1
Alistipes onderdonkii	Diabetes mellitus type 1
Ruminococcus torques	Diabetes mellitus type 1
Prevotella copri	Parkinson's disease
Phascolarctobacterium succinatutens	Parkinson's disease
Holdemanella biformis	Parkinson's disease
Prevotella stercorea	Parkinson's disease
Catenibacterium mitsuokai	Parkinson's disease
Streptococcus thermophilus	Parkinson's disease
Pseudoflavonifractor capillosus	Parkinson's disease
Bilophila wadsworthia	Parkinson's disease
Gordonibacter pamelaeae	Parkinson's disease
Adlercreutzia equolifaciens	Parkinson's disease
Anaerostipes hadrus	Parkinson's disease
Coprococcus eutactus	Parkinson's disease
Lachnospiraceae bacterium 1_1_57FAA	Parkinson's disease
Alistipes obesi	Parkinson's disease
Ruminococcus lactaris	Parkinson's disease
Alistipes shahii	Parkinson's disease
Akkermansia muciniphila	Parkinson's disease
Bacteroides ovatus	Gestational diabetes
Megamonas hypermegale	Gestational diabetes
Bifidobacterium adolescentis	Gestational diabetes
Megamonas funiformis	Gestational diabetes
Collinsella aerofaciens	Gestational diabetes
Bifidobacterium longum	Gestational diabetes
Streptococcus salivarius	Gestational diabetes
Streptococcus parasanguinis	Gestational diabetes
Veillonella atypica	Gestational diabetes
Clostridium symbiosum	Gestational diabetes
Ruminococcaceae bacterium D16	Gestational diabetes
Clostridium bolteae	Gestational diabetes
Prevotella bivia	Gestational diabetes
Ruminococcus torques	Gestational diabetes
Bacteroides xylanisolvens	Gestational diabetes
Bacteroides intestinalis	Gestational diabetes
Ruminococcus bromii	Gestational diabetes
Eubacterium siraeum	Gestational diabetes
Bacteroides pectinophilus	Nonalcoholic fatty liver disease
Bacteroides sp.	Nonalcoholic fatty liver disease
Eubacterium siraeum	Nonalcoholic fatty liver disease
Methanobrevibacter smithii	Nonalcoholic fatty liver disease
Mitsuokella multacida	Nonalcoholic fatty liver disease
Catenibacterium mitsuokai	Nonalcoholic fatty liver disease
Alistipes shahii	Nonalcoholic fatty liver disease
Lachnospiraceae bacterium 3_1_46FAA	Nonalcoholic fatty liver disease
Ruminococcus champanellensis	Nonalcoholic fatty liver disease
Dialister succinatiphilus	Nonalcoholic fatty liver disease
Enterobacter cloacae	Nonalcoholic fatty liver disease
Alistipes senegalensis	Nonalcoholic fatty liver disease
Weissella cibaria	Nonalcoholic fatty liver disease
Porphyromonas somerae	Nonalcoholic fatty liver disease
Shigella sonnei	Nonalcoholic fatty liver disease
Clostridium symbiosum	Nonalcoholic fatty liver disease
Ruminococcus gnavus	Nonalcoholic fatty liver disease
Bifidobacterium bifidum	Nonalcoholic fatty liver disease
Bacteroides uniformis	Hypertension
Bifidobacterium longum	Hypertension
Roseburia hominis	Hypertension
Alistipes senegalensis	Hypertension
Bacteroides intestinalis	Hypertension
Parabacteroides johnsonii	Hypertension
Lachnospiraceae bacterium 1_1_57FAA	Hypertension
Holdemania filiformis	Hypertension
Paraprevotella xylaniphila	Hypertension
Pseudomonas aeruginosa	Hypertension
Clostridium asparagiforme	Hypertension
Bacteroides salyersiae	Hypertension
Ruminococcus gnavus	Hypertension
Sutterella wadsworthensis	Hypertension
Bacteroides uniformis	Prehypertension
Bilophila wadsworthia	Prehypertension
Flavonifractor plautii	Prehypertension
Hungatella hathewayi	Prehypertension
Bifidobacterium dentium	Prehypertension
Holdemania filiformis	Prehypertension
Gordonibacter pamelaeae	Prehypertension
Clostridium asparagiforme	Prehypertension
Ruminococcus lactaris	Prehypertension
Klebsiella oxytoca	Prehypertension
Prevotella copri	Prehypertension
Roseburia inulinivorans	Behcet Syndrome
Fusobacterium mortiferum	Behcet Syndrome
Butyrivibrio crossotus	Behcet Syndrome
Lachnospiraceae bacterium 5_1_63FAA	Behcet Syndrome
Coprobacter fastidiosus	Behcet Syndrome
Bilophila wadsworthia	Behcet Syndrome
Bacteroides fluxus	Behcet Syndrome
Candidatus Alistipes marseilloanorexicus AP11	Behcet Syndrome
Collinsella aerofaciens	Behcet Syndrome
Bacteroides eggerthii	Behcet Syndrome
Escherichia/Shigella sp.	nephrolithiasis
Eubacterium hallii	nephrolithiasis
Eubacterium ruminantium	nephrolithiasis
Eubacterium ruminantium	constipation
Escherichia/Shigella sp.	Obesity
Faecalibacterium prausnitzii	Cystic fibrosis
Eubacterium rectale	Cystic fibrosis
Lactobacillus fermentum	Cystic fibrosis
Bifidobacterium longum	Cystic fibrosis
Bifidobacterium breve	Cystic fibrosis
Lactobacillus mucosae	Cystic fibrosis
Lactobacillus reuteri	Cystic fibrosis
Bifidobacterium bifidum	Cystic fibrosis
Bifidobacterium dentium	Cystic fibrosis
Lactobacillus crispatus	Cystic fibrosis
Lactobacillus pentosus	Cystic fibrosis
Lactobacillus pontis	Cystic fibrosis
Lactobacillus vaginalis	Cystic fibrosis
Lactobacillus zeae	Cystic fibrosis
Eubacterium biforme	Cystic fibrosis
Eubacterium dolichum	Cystic fibrosis
Bifidobacterium pseudocatenulatum	Cystic fibrosis
Lactobacillus sanfranciscensis	Cystic fibrosis
Eubacterium siraeum	Cystic fibrosis
Eubacterium limosum	Cystic fibrosis
Lactobacillus fermentum	graf-versus-host disease
Bacteroides dorei	graf-versus-host disease
Bacteroides ovatus	graf-versus-host disease
Veillonella parvula	graf-versus-host disease
Erysipelatoclostridium ramosum	graf-versus-host disease
Bacteroides thetaiotaomicron	graf-versus-host disease
Roseburia hominis	graf-versus-host disease
Solobacterium moorei	graf-versus-host disease
Blautia luti	graf-versus-host disease
Clostridium clostridioforme	graf-versus-host disease
Bacteroides caccae	graf-versus-host disease
Enterococcus faecium	graf-versus-host disease
Lactobacillus salivarius	graf-versus-host disease
Rothia mucilaginosa	graf-versus-host disease
Escherichia/Shigella sp.	Autism
Peptostreptococcaceae incertae sedis	Autism
Escherichia/Shigella sp.	thyroiditis
Escherichia coli	thyroiditis
Akkermansia muciniphila	gastrointestinal helminths infection
Escherichia/Shigella sp.	Nonalcoholic fatty liver disease
Blautia hansenii	dysentery
Fusobacterium mortiferum	dysentery
Clostridium coccoides	cardiorespiratory fitness in premenopausal women
Akkermansia muciniphila	Nonalcoholic fatty liver disease
Lactobacillus reuteri	Nonalcoholic fatty liver disease
Benedictia fragilis	Nonalcoholic fatty liver disease
Bifidobacterium sp.	Obesity
Fusobacterium periodonticum	Colorectal cancer
Escherichia/Shigella sp.	Parkinson's disease
Lactobacillus fermentum	hepatitis B virus-related decompensated cirrhosis
Lactobacillus rhamnosus	hepatitis B virus-related decompensated cirrhosis
Lactobacillus fermentum	hepatitis B cirrhosis
Lactobacillus rhamnosus	hepatitis B cirrhosis
Bifidobacterium sp.	Cystic fibrosis
Veillonella sp.	Cystic fibrosis
Haemophilus parainfluenzae	Irritable bowel syndrome
Lactobacillus gasseri	diarrhea
Helicobacter pylori	Inflammatory bowel disease
Clostridium coccoides	Irritable bowel syndrome
Faecalibacterium prausnitzii	hepatitis B cirrhosis
Enterococcus faecalis	hepatitis B cirrhosis
Bacteroides vulgatus	Ulcerative colitis
Bacteroides ovatus	Ulcerative colitis
Parabacteroides sp.	Ulcerative colitis
Bacteroides vulgatus	Irritable bowel syndrome
Bacteroides uniformis	Irritable bowel syndrome
Bacteroides ovatus	Irritable bowel syndrome
Parabacteroides sp.	Irritable bowel syndrome
Pseudomonas aeruginosa	Irritable bowel syndrome
Pseudomonas luteola	Coronary artery disease
Bacteroides fragilis	Crohn's disease
Enterococcus sp.	Crohn's disease
Clostridium difficile	Crohn's disease
Shigella flexneri	Crohn's disease
Listeria sp.	Crohn's disease
Lactobacillus acidophilus	iron-deficiency anaemia
Enterococcus sp.	Helicobacter pylori infection
Ruminococcus torques	Irritable bowel syndrome
Ruminococcus bromii	Irritable bowel syndrome
Faecalibacterium prausnitzii	gastroenteritis
Prevotella copri	patients undergoing peritoneal dialysis
Solobacterium moorei	patients undergoing peritoneal dialysis
Bifidobacterium animalis	patients undergoing peritoneal dialysis
Alistipes indistinctus	patients undergoing peritoneal dialysis
Clostridium citroniae	patients undergoing peritoneal dialysis
Clostridium hathewayi	patients undergoing peritoneal dialysis
Ruminococcus gauvreauii	patients undergoing peritoneal dialysis
Faecalibacterium prausnitzii	Ulcerative colitis
Erysipelotrichaceae incertae sedis	Metabolic syndrome
Bifidobacteriaceae incertae sedis	Metabolic syndrome
Acinetobacter incertae sedis	Metabolic syndrome
Mogibacteriaceae incertae sedis	Metabolic syndrome
Bacteroidales incertae sedis	Metabolic syndrome
Enterobacteriaceae incertae sedis	Metabolic syndrome
Faecalibacterium prausnitzii	keratitis
Bacteroides plebeius	keratitis
Bifidobacterium adolescentis	keratitis
Bacteroides uniformis	recurrent idiopathic calcium stone
Bifidobacterium breve	recurrent idiopathic calcium stone
Enterococcus faecalis	recurrent idiopathic calcium stone
Klebsiella variicola	recurrent idiopathic calcium stone
Citrobacter koseri	recurrent idiopathic calcium stone
Oribacterium parvum	recurrent idiopathic calcium stone
Acidaminococcus intestini	recurrent idiopathic calcium stone
Cellulosimicrobium cellulans	recurrent idiopathic calcium stone
Erysipelotrichaceae incertae sedis	acute anterior uveitis
Bifidobacterium longum	Celiac disease
Bifidobacterium breve	Celiac disease
Enterococcus sp.	Celiac disease
Escherichia/Shigella sp.	Eczema
Clostridium neonatale	Asthma
Faecalibacterium prausnitzii	Hirschsprung's Disease
Bacteroides fragilis	Hirschsprung's Disease
Veillonella parvula	Hirschsprung's Disease
Veillonella dispar	Hirschsprung's Disease
Candida sp.	Obesity
Saccharomyces sp.	Obesity
Bifidobacterium longum	Diabetes mellitus type 1
Dialister invisus	Diabetes mellitus type 1
Gemella sanguinis	Diabetes mellitus type 1
Bifidobacterium adolescentis	Asthma
Blautia faecis	Crohn's disease
Clostridium lavalense	Crohn's disease
Bacteroides dorei	primary sclerosing cholangitis
Clostridium perfringens	primary sclerosing cholangitis
Lactobacillus sp.	botulism
Clostridium botulinum	botulism
Clostridium baratii	botulism
Clostridium leptum	Parkinson's disease
Blautia coccoides	Parkinson's disease
Faecalibacterium prausnitzii	atopic dermatitis
Clostridium coccoides	Inflammatory bowel disease
Escherichia/Shigella sp.	Colorectal cancer
Rhizobium	Colorectal cancer
Escherichia/Shigella sp.	Irritable bowel syndrome
uncultured Clostridiales II	primary sclerosing cholangitis
Bifidobacterium longum	Diabetes mellitus type 2
Faecalibacterium prausnitzii	gender
Akkermansia muciniphila	Colorectal cancer
Bacteroides vulgatus	Inflammatory bowel disease
Bifidobacterium catenulatum	allergic hypersensitivity disease
Bacteroides fragilis	Ulcerative colitis
Ruminococcus bromii	Parkinson's disease
Papillibacter cinnamivorans	Parkinson's disease
Bacteroides dorei	Parkinson's disease
Lactobacillus mucosae	Parkinson's disease
Bacteroides plebeius	Parkinson's disease
Ruminococcus callidus	Parkinson's disease
Christensenella minuta	Parkinson's disease
Catabacter hongkongensis	Parkinson's disease
Bacteroides massiliensis	Parkinson's disease
Candidatus Stoquefichus massiliensis	Parkinson's disease
Bacteroides coprocola	Parkinson's disease
Blautia glucerasea	Parkinson's disease
Dorea longicatena	Parkinson's disease
Faecalibacterium prausnitzii	breast cancer
Escherichia/Shigella sp.	breast cancer
Clostridium leptum	breast cancer
Bifidobacterium sp.	breast cancer
Lactobacillus sp.	breast cancer
Roseburia intestinalis	breast cancer
Blautia sp.	breast cancer
Lactonifactor longoviformis	breast cancer
Roseburia faecis	Inflammatory bowel disease
Roseburia intestinalis	Inflammatory bowel disease
Blautia coccoides	Inflammatory bowel disease
Blautia hansenii	Inflammatory bowel disease
Bacillus caccae	Inflammatory bowel disease
Coprococcus comes	Inflammatory bowel disease
Bifidobacterium longum	Inflammatory bowel disease
Eikenella corrodens	Inflammatory bowel disease
Faecalibacterium prausnitzii	AIDS
Papillibacter cinnamivorans	AIDS
Eubacterium eligens	AIDS
Roseburia intestinalis	AIDS
Ruminococcus flavefaciens	AIDS
Blautia sp.	AIDS
Clostridium sp. Clone-24	AIDS
Roseburia inulinivorans	AIDS
Flavonifractor plautii	AIDS
Alistipes senegalensis	AIDS
Bacillus sp.	AIDS
Clostridium sp. 6	AIDS
Paludibacter sp.	AIDS
Coriobacterium sp. AUH-Julong21	AIDS
Clostridium sp. 29	AIDS
Clostridium sp. Clone-33	AIDS
Desulfovibrio sp. 6	AIDS
Bacteroides plebeius	Colorectal cancer
Peptostreptococcus?anaerobius	Colorectal cancer
Pantoea agglomerans	Colorectal cancer
