Gut Microbiota	DOID
Alistipes indistinctus	Inflammatory bowel disease
Bifidobacterium adolescentis	Inflammatory bowel disease
Bacteroides coprophilus	Inflammatory bowel disease
Dorea longicatena	Inflammatory bowel disease
Ruminococcus torques	Inflammatory bowel disease
Eubacterium hallii	Inflammatory bowel disease
Megamonas hypermegale	Inflammatory bowel disease
Blautia obeum	Inflammatory bowel disease
Eubacterium ventriosum	Inflammatory bowel disease
Lactobacillus ruminis	Inflammatory bowel disease
Bacteroides sp.	Inflammatory bowel disease
Bacteroides plebeius	Inflammatory bowel disease
Ruminococcus lactaris	Inflammatory bowel disease
Bacteroides salyersiae	Inflammatory bowel disease
Subdoligranulum sp.	Inflammatory bowel disease
Coprococcus eutactus	Inflammatory bowel disease
Bacteroides faecis	Inflammatory bowel disease
Coprococcus catus	Inflammatory bowel disease
Eubacterium ramulus	Inflammatory bowel disease
Lachnospiraceae bacterium 5_1_63FAA	Inflammatory bowel disease
Dorea formicigenerans	Inflammatory bowel disease
Lachnospiraceae bacterium 3_1_46FAA	Inflammatory bowel disease
Sutterella wadsworthensis	Inflammatory bowel disease
Paraprevotella clara	Inflammatory bowel disease
Butyrivibrio crossotus	Inflammatory bowel disease
Bacteroides clarus	Inflammatory bowel disease
Clostridium leptum	Inflammatory bowel disease
Alistipes senegalensis	Inflammatory bowel disease
Paraprevotella xylaniphila	Inflammatory bowel disease
Faecalitalea cylindroides	Inflammatory bowel disease
Lachnospiraceae bacterium 7_1_58FAA	Inflammatory bowel disease
Phascolarctobacterium succinatutens	Inflammatory bowel disease
Odoribacter laneus	Inflammatory bowel disease
Coprobacter fastidiosus	Inflammatory bowel disease
Clostridiales bacterium 1_7_47FAA	Inflammatory bowel disease
Adlercreutzia equolifaciens	Inflammatory bowel disease
Desulfovibrio piger	Inflammatory bowel disease
Megamonas rupellensis	Inflammatory bowel disease
Lachnospiraceae bacterium 1_4_56FAA	Inflammatory bowel disease
Lactobacillus casei	Inflammatory bowel disease
Gemella morbillorum	Inflammatory bowel disease
Subdoligranulum variabile	Inflammatory bowel disease
Collinsella tanakaei	Inflammatory bowel disease
Hungatella hathewayi	Inflammatory bowel disease
Lachnospiraceae bacterium 9_1_43BFAA	Inflammatory bowel disease
Veillonella dispar	Inflammatory bowel disease
Lachnospiraceae bacterium 6_1_63FAA	Inflammatory bowel disease
Streptococcus anginosus	Inflammatory bowel disease
Clostridium scindens	Inflammatory bowel disease
Veillonella atypica	Inflammatory bowel disease
Streptococcus mitis	Inflammatory bowel disease
Lachnospiraceae bacterium 4_1_37FAA	Inflammatory bowel disease
Granulicatella adiacens	Inflammatory bowel disease
Bilophila wadsworthia	Inflammatory bowel disease
Streptococcus vestibularis	Inflammatory bowel disease
Slackia piriformis	Inflammatory bowel disease
Eggerthella lenta	Inflammatory bowel disease
Clostridium spiroforme	Inflammatory bowel disease
Clostridium clostridioforme	Inflammatory bowel disease
Anaerostipes caccae	Inflammatory bowel disease
Clostridium perfringens	Inflammatory bowel disease
Bifidobacterium pseudolongum	Inflammatory bowel disease
Erysipelatoclostridium ramosum	Inflammatory bowel disease
Gordonibacter pamelaeae	Inflammatory bowel disease
Oscillibacter sp.	Inflammatory bowel disease
Parasutterella excrementihominis	Inflammatory bowel disease
Butyricicoccus pullicaecorum	Inflammatory bowel disease
Burkholderiales bacterium 1_1_47	Inflammatory bowel disease
Collinsella stercoris	Inflammatory bowel disease
Peptostreptococcus stomatis	Inflammatory bowel disease
Ruminococcaceae bacterium D16	Inflammatory bowel disease
Lactobacillus acidophilus	Inflammatory bowel disease
Erysipelotrichaceae bacterium 21_3	Inflammatory bowel disease
Atopobium parvulum	Inflammatory bowel disease
Erysipelotrichaceae bacterium 5_2_54FAA	Inflammatory bowel disease
Anaerostipes hadrus	Inflammatory bowel disease
Lactobacillus rhamnosus	Inflammatory bowel disease
Clostridium asparagiforme	Inflammatory bowel disease
Clostridium bolteae	Inflammatory bowel disease
Intestinibacter bartlettii	Inflammatory bowel disease
Lactobacillus mucosae	Inflammatory bowel disease
Lactococcus lactis	Inflammatory bowel disease
Clostridium symbiosum	Inflammatory bowel disease
Streptococcus pasteurianus	Inflammatory bowel disease
Ruminococcus callidus	Inflammatory bowel disease
Rothia mucilaginosa	Inflammatory bowel disease
Fusobacterium nucleatum	Inflammatory bowel disease
Methanomassiliicoccus luminyensis	Inflammatory bowel disease
Haemophilus parainfluenzae	Inflammatory bowel disease
Tyzzerella nexilis	Inflammatory bowel disease
Lachnospiraceae bacterium 5_1_57FAA	Inflammatory bowel disease
Clostridium sp.	Inflammatory bowel disease
Flavonifractor plautii	Inflammatory bowel disease
Aggregatibacter segnis	Inflammatory bowel disease
Enterococcus faecium	Inflammatory bowel disease
Blautia producta	Inflammatory bowel disease
Holdemanella biformis	Inflammatory bowel disease
Lachnospiraceae bacterium 2_1_58FAA	Inflammatory bowel disease
Catenibacterium mitsuokai	Inflammatory bowel disease
Bifidobacterium dentium	Inflammatory bowel disease
Ruminococcus gnavus	Inflammatory bowel disease
Pediococcus acidilactici	Inflammatory bowel disease
Bifidobacterium animalis	Inflammatory bowel disease
Megasphaera micronuciformis	Inflammatory bowel disease
Veillonella ratti	Inflammatory bowel disease
Escherichia coli	Inflammatory bowel disease
Lactobacillus gasseri	Inflammatory bowel disease
Bifidobacterium breve	Inflammatory bowel disease
Eubacterium sp.	Inflammatory bowel disease
Veillonella parvula	Inflammatory bowel disease
Streptococcus thermophilus	Inflammatory bowel disease
Bifidobacterium bifidum	Inflammatory bowel disease
Bacteroides thetaiotaomicron	Inflammatory bowel disease
Streptococcus parasanguinis	Inflammatory bowel disease
Methanobrevibacter smithii	Inflammatory bowel disease
Streptococcus salivarius	Inflammatory bowel disease
Ruminococcus sp.	Inflammatory bowel disease
Parabacteroides goldsteinii	Inflammatory bowel disease
Eubacterium rectale	Colorectal cancer
Ruminococcus sp.	Colorectal cancer
Faecalibacterium prausnitzii	Colorectal cancer
Ruminococcus bromii	Colorectal cancer
Prevotella copri	Colorectal cancer
Eubacterium eligens	Colorectal cancer
Roseburia intestinalis	Colorectal cancer
Bifidobacterium adolescentis	Colorectal cancer
Bifidobacterium longum	Colorectal cancer
Streptococcus thermophilus	Colorectal cancer
Anaerostipes hadrus	Colorectal cancer
Coprococcus sp.	Colorectal cancer
Bacteroides pectinophilus	Colorectal cancer
Eubacterium ventriosum	Colorectal cancer
Eubacterium hallii	Colorectal cancer
Bacteroides massiliensis	Colorectal cancer
Roseburia inulinivorans	Colorectal cancer
Bacteroides ovatus	Colorectal cancer
Streptococcus salivarius	Colorectal cancer
Coprococcus comes	Colorectal cancer
Clostridium sp.	Colorectal cancer
Bifidobacterium pseudocatenulatum	Colorectal cancer
Bacteroides intestinalis	Colorectal cancer
Blautia obeum	Colorectal cancer
Roseburia hominis	Colorectal cancer
Bifidobacterium animalis	Colorectal cancer
Lachnospiraceae bacterium 5_1_63FAA	Colorectal cancer
Haemophilus parainfluenzae	Colorectal cancer
Bifidobacterium catenulatum	Colorectal cancer
Citrobacter freundii	Colorectal cancer
Lactobacillus ruminis	Colorectal cancer
Alistipes obesi	Colorectal cancer
Enterobacter cloacae	Colorectal cancer
Enterococcus faecium	Colorectal cancer
Adlercreutzia equolifaciens	Colorectal cancer
Clostridium symbiosum	Colorectal cancer
Lachnospiraceae bacterium 8_1_57FAA	Colorectal cancer
Bacteroides clarus	Colorectal cancer
Ruminococcus champanellensis	Colorectal cancer
Intestinibacter bartlettii	Colorectal cancer
Methanosphaera stadtmanae	Colorectal cancer
Hungatella hathewayi	Colorectal cancer
Ruminococcaceae bacterium D16	Colorectal cancer
Alistipes senegalensis	Colorectal cancer
Erysipelotrichaceae bacterium 5_2_54FAA	Colorectal cancer
Streptococcus sanguinis	Colorectal cancer
Gordonibacter pamelaeae	Colorectal cancer
Collinsella intestinalis	Colorectal cancer
Streptococcus australis	Colorectal cancer
Alloprevotella tannerae	Colorectal cancer
Atopobium parvulum	Colorectal cancer
Veillonella atypica	Colorectal cancer
Parvimonas micra	Colorectal cancer
Megamonas rupellensis	Colorectal cancer
Clostridiales bacterium 1_7_47FAA	Colorectal cancer
Fusobacterium nucleatum	Colorectal cancer
Bilophila wadsworthia	Colorectal cancer
Lachnospiraceae bacterium 7_1_58FAA	Colorectal cancer
Eubacterium limosum	Colorectal cancer
Granulicatella adiacens	Colorectal cancer
Megasphaera elsdenii	Colorectal cancer
Lachnospiraceae bacterium 5_1_57FAA	Colorectal cancer
Morganella morganii	Colorectal cancer
Lactobacillus salivarius	Colorectal cancer
Eggerthella lenta	Colorectal cancer
Solobacterium moorei	Colorectal cancer
Clostridium asparagiforme	Colorectal cancer
Lachnospiraceae bacterium 1_4_56FAA	Colorectal cancer
Gemella morbillorum	Colorectal cancer
Streptococcus pasteurianus	Colorectal cancer
Holdemania filiformis	Colorectal cancer
Peptostreptococcus stomatis	Colorectal cancer
Anaerococcus vaginalis	Colorectal cancer
Porphyromonas gingivalis	Colorectal cancer
Anaerotruncus colihominis	Colorectal cancer
Desulfovibrio desulfuricans	Colorectal cancer
Lactobacillus crispatus	Colorectal cancer
Erysipelatoclostridium ramosum	Colorectal cancer
Clostridium citroniae	Colorectal cancer
Eikenella corrodens	Colorectal cancer
Streptococcus anginosus	Colorectal cancer
Sutterella wadsworthensis	Colorectal cancer
Peptostreptococcus anaerobius	Colorectal cancer
Porphyromonas uenonis	Colorectal cancer
Prevotella intermedia	Colorectal cancer
Porphyromonas somerae	Colorectal cancer
Actinomyces turicensis	Colorectal cancer
Lachnospiraceae bacterium 3_1_57FAA_CT1	Colorectal cancer
Lachnospiraceae bacterium 3_1_46FAA	Colorectal cancer
Flavonifractor plautii	Colorectal cancer
Bacteroides coprophilus	Colorectal cancer
Paraprevotella clara	Colorectal cancer
Subdoligranulum sp.	Colorectal cancer
Alistipes finegoldii	Colorectal cancer
Odoribacter splanchnicus	Colorectal cancer
Porphyromonas asaccharolytica	Colorectal cancer
Coprobacillus cateniformis	Colorectal cancer
Bifidobacterium dentium	Colorectal cancer
Alistipes indistinctus	Colorectal cancer
Bacteroides faecis	Colorectal cancer
Bacteroides xylanisolvens	Colorectal cancer
Parabacteroides johnsonii	Colorectal cancer
Shigella sonnei	Colorectal cancer
Klebsiella oxytoca	Colorectal cancer
Bacteroides salyersiae	Colorectal cancer
Lachnospiraceae bacterium 2_1_58FAA	Colorectal cancer
Oscillibacter sp.	Colorectal cancer
Butyricicoccus pullicaecorum	Colorectal cancer
Bifidobacterium angulatum	Colorectal cancer
Bacteroides nordii	Colorectal cancer
Clostridium clostridioforme	Colorectal cancer
Bacteroides salanitronis	Colorectal cancer
Acidaminococcus sp.	Colorectal cancer
Fusobacterium varium	Colorectal cancer
Bacteroides fragilis	Colorectal cancer
Dorea formicigenerans	Colorectal cancer
Prevotella nigrescens	Colorectal cancer
Dorea longicatena	Colorectal cancer
Bacteroides stercoris	Colorectal cancer
Tyzzerella nexilis	Colorectal cancer
Barnesiella intestinihominis	Colorectal cancer
Prevotella stercorea	Colorectal cancer
Bacteroides caccae	Colorectal cancer
Anaeroglobus geminatus	Colorectal cancer
Clostridium bolteae	Colorectal cancer
Ruminococcus gnavus	Colorectal cancer
Parabacteroides merdae	Colorectal cancer
Alistipes onderdonkii	Colorectal cancer
Holdemanella biformis	Colorectal cancer
Alistipes shahii	Colorectal cancer
Alistipes putredinis	Colorectal cancer
Eubacterium siraeum	Colorectal cancer
Collinsella aerofaciens	Colorectal cancer
Odoribacter laneus	Colorectal cancer
Bacteroides eggerthii	Colorectal cancer
Fusobacterium gonidiaformans	Colorectal cancer
Bacteroides dorei	Colorectal cancer
Methanobrevibacter smithii	Colorectal cancer
Bacteroides vulgatus	Colorectal cancer
Ruminococcus torques	Colorectal cancer
Dialister invisus	Colorectal cancer
Porphyromonas endodontalis	Colorectal cancer
Escherichia coli	Colorectal cancer
Eubacterium rectale	Ulcerative colitis
Bacteroides eggerthii	Ulcerative colitis
Dialister invisus	Ulcerative colitis
Ruminococcus sp.	Ulcerative colitis
Ruminococcus bromii	Ulcerative colitis
Akkermansia muciniphila	Ulcerative colitis
Bacteroides caccae	Ulcerative colitis
Eubacterium hallii	Ulcerative colitis
Alistipes onderdonkii	Ulcerative colitis
Dorea longicatena	Ulcerative colitis
Alistipes putredinis	Ulcerative colitis
Ruminococcus torques	Ulcerative colitis
Coprococcus comes	Ulcerative colitis
Blautia obeum	Ulcerative colitis
Bacteroides finegoldii	Ulcerative colitis
Alistipes finegoldii	Ulcerative colitis
Burkholderiales bacterium 1_1_47	Ulcerative colitis
Alistipes shahii	Ulcerative colitis
Bifidobacterium pseudocatenulatum	Ulcerative colitis
Clostridium leptum	Ulcerative colitis
Ruminococcus lactaris	Ulcerative colitis
Bifidobacterium bifidum	Ulcerative colitis
Roseburia hominis	Ulcerative colitis
